Scenario Instances,Target Audience,Libraries,Count
API,Data analysis, json,1
API,Data analysis, tweepy,1
API,Data analysis, xml,1
API,Data analysis,csv,1
API,Data analysis,requests,1
API,Educational purposes, Numba,1
API,Educational purposes, Scikit-learn,1
API,Educational purposes,Biopython,1
API,Generic, StringIO,1
API,Generic, gzip.,1
API,Generic, urllib,1
API,Generic, urlparse,1
API,Generic,AsyncIO,1
API,Generic,Multiprocessing,1
API,Generic,Openpyxl,1
API,Generic,PyMySQL,1
API,Generic,RxPy,2
API,Generic,Sockets,1
API,Generic,httplib,1
API,Generic,hug,1
API,Web development, CMSplugin-filter,1
API,Web development, Pillow,2
API,Web development, django CMS,2
API,Web development, django-filter,1
API,Web development, django-mptt,1
API,Web development, django-reversion,1
API,Web development,Django,2
Data and Processing,Educational purposes, Matplotlib,2
Data and Processing,Educational purposes, Numpy,1
Data and Processing,Educational purposes, Scipy,1
Data and Processing,Educational purposes, Seaborn,1
Data and Processing,Educational purposes, simuPOP,1
Data and Processing,Educational purposes,Biopython,2
Data and Processing,Game development, PyOpenGL,1
Data and Processing,Game development,NumPy,1
Data and Processing,Generic, and frozenset,1
Data and Processing,Generic, dictionary,1
Data and Processing,Generic, set,1
Data and Processing,Generic, time,1
Data and Processing,Generic, tuple,1
Data and Processing,Generic,CSV,1
Data and Processing,Generic,SQLite,1
Data and Processing,Generic,Threading,1
Data and Processing,Generic,list,1
Data and Processing,Generic,pygame,2
Data and Processing,Generic,random,1
Data and Processing,Generic,re,1
Data and Processing,Web development, Django Rest Framework,2
Data and Processing,Web development, Django-Ajax,1
Data and Processing,Web development, Django-activity-stream,1
Data and Processing,Web development, Django-redis,1
Data and Processing,Web development, Haystack,1
Data and Processing,Web development, django-mptt,2
Data and Processing,Web development,Django,3
Data and Processing,Web development,Django-Celery,1
GUI,Educational purposes, Matplotlib,1
GUI,Educational purposes, NetworkX,1
GUI,Educational purposes, Seaborn,1
GUI,Educational purposes,DendroPy,1
GUI,Generic, NumPy,1
GUI,Generic, Pillow,1
GUI,Generic, pywebview,1
GUI,Generic, wxPython,1
GUI,Generic,Matplotlib,1
GUI,Generic,Turtle Graphics library,2
GUI,Generic,pyqtgraph,1
GUI,Generic,wxPython,2
Others/Generic,Data analysis, NumPy,2
Others/Generic,Data analysis, Pillow,1
Others/Generic,Data analysis, matplotlib,1
Others/Generic,Data analysis, openpyxl,1
Others/Generic,Data analysis, pdfminer,1
Others/Generic,Data analysis, re,1
Others/Generic,Data analysis, requests,1
Others/Generic,Data analysis, seaborn,1
Others/Generic,Data analysis, urllib,1
Others/Generic,Data analysis,BeautifulSoup,1
Others/Generic,Data analysis,PyPDF2,1
Others/Generic,Data analysis,Scrapy,1
Others/Generic,Data analysis,matplotlib,1
Others/Generic,Data analysis,pandas,2
Others/Generic,Data analysis,xlrd,1
Others/Generic,Educational purposes, Cytoscape,1
Others/Generic,Educational purposes, Geopy,1
Others/Generic,Educational purposes, Matplotlib,3
Others/Generic,Educational purposes, Pandas,2
Others/Generic,Educational purposes, PyMOL,1
Others/Generic,Educational purposes, Seaborn,1
Others/Generic,Educational purposes,Biopython,3
Others/Generic,Game development, NumPy,1
Others/Generic,Game development, PyOpenGL,2
Others/Generic,Game development,NumPy,1
Others/Generic,Game development,Pygame,1
Others/Generic,Generic, BaseHTMLProcessor.py,1
Others/Generic,Generic, PyContracts,1
Others/Generic,Generic, SOAPpy.,1
Others/Generic,Generic, attrs,1
Others/Generic,Generic, begins,1
Others/Generic,Generic, boltons,1
Others/Generic,Generic, click,1
Others/Generic,Generic, collections,1
Others/Generic,Generic, csv,1
Others/Generic,Generic, datetime,1
Others/Generic,Generic, dialect.py.,1
Others/Generic,Generic, fpconst,1
Others/Generic,Generic, json,2
Others/Generic,Generic, more-itertools,1
Others/Generic,Generic, parsedatetime,1
Others/Generic,Generic, psutil,1
Others/Generic,Generic, urllib,1
Others/Generic,Generic, watchdog,1
Others/Generic,Generic, xml.dom.ext,1
Others/Generic,Generic, xml.xpath.,1
Others/Generic,Generic,Cython,1
Others/Generic,Generic,Flask,2
Others/Generic,Generic,PyXML,1
Others/Generic,Generic,arrow,1
Others/Generic,Generic,colorama,1
Others/Generic,Generic,flit,1
Others/Generic,Generic,math,1
Others/Generic,Generic,pickle,1
Others/Generic,Generic,sgmllib.py,1
Others/Generic,Generic,wxPython,2
Others/Generic,Generic,xml.dom.minidom,1
Others/Generic,Web development, Django Rest Framework,4
Others/Generic,Web development, Django-Caching,2
Others/Generic,Web development, Django-Celery,1
Others/Generic,Web development, Django-Crispy-Forms,1
Others/Generic,Web development, Django-Q,1
Others/Generic,Web development, Django-SHOP,1
Others/Generic,Web development, Django-Select2,1
Others/Generic,Web development, Django-Silk,2
Others/Generic,Web development, Django-paypal,1
Others/Generic,Web development, Pillow,2
Others/Generic,Web development, Stripe,1
Others/Generic,Web development, django CMS,3
Others/Generic,Web development, django-appconf,1
Others/Generic,Web development, django-disqus,1
Others/Generic,Web development, django-filter,1
Others/Generic,Web development,Django,16
